"Arbeidsledighet",,,,,
,,,,,
,,,,,
"Variabler i filter",,,,,
"Alder, 15-29 år",,,,,
"andel (prosent)",,,,,
,,,,,
"År","2009","2010","2011","2012","2013"
"Geografi","aar2009","aar2010","aar2011","aar2012","aar2013"
"Røros",2,1.9,1.3,1.7,1.4
"Holtålen",2.4,1.8,1.2,0.9,1.1
"Midtre Gauldal",2.7,2.8,2.6,2.4,2.6
"Melhus",3.1,2.6,2.5,2.1,2.2
"Skaun",3.4,3,3,2.3,2.2
"Klæbu",2.6,3.2,2.6,2.5,2.2
"Malvik",2.5,2.5,2.2,2.1,2
"Selbu",2.5,2.7,1.9,1.9,2.4
"Tydal",1.8,1.7,1.1,2.1,2.3
"Steinkjer",3.4,3.5,3.3,2.9,2.8
"Namsos",3.1,2.4,2.6,2.3,2.7
"Meråker",3.4,3,2.8,3.2,2.8
"Stjørdal",2.7,2.7,2.4,2,1.9
"Frosta",3.1,3.2,2.6,2.9,2.5
"Leksvik",4,3.4,2.7,1.9,1.2
"Levanger",2.9,2.6,2.2,1.9,2.3
"Verdal",4.2,3.8,2.7,2.8,2.9
"Verran",3.3,4,3.6,3.1,2.9
"Namdalseid",2.3,2,1.9,2.2,2.6
"Snåsa",2.2,2.2,1.2,2.4,2.2
"Lierne",1.6,1.3,1.3,1.7,3.1
"Røyrvik",3.5,2.4,2.3,2.2,1.1
"Namsskogan",2.2,2.9,3.8,3.2,3.1
"Grong",2.5,2.3,2,1.9,2.2
"Høylandet",2.6,2.6,1.6,1.6,1.5
"Overhalla",3.8,2.9,2.3,1.4,1.7
"Fosnes",1.6,1.7,1.6,3.3,2.6
"Flatanger",2.6,1,2,2.9,1.9
"Vikna",2.9,2.8,2.1,2.4,3.9
"Nærøy",2.4,2.6,2.1,2.2,2.8
"Leka",1.1,2,2.2,1.1,2.2
"Inderøy",2.8,1.9,1.8,1.8,1.3
"Bodø",2.3,2.5,2.4,2.4,2.5
"Narvik",3.2,2.5,2.9,2.4,3
"Bindal",3.9,3.6,2.7,2.3,2.7
"Sømna",1.7,2,1.4,1.4,1.3
"Brønnøy",2.5,3,2.8,2.2,3
"Vega",2.4,2.4,2.3,2.7,2.3
"Vevelstad",4.1,2.6,1.3,2.6,2.6
"Herøy (Nordland)",1.7,2.8,4.1,3.3,6.6
"Alstahaug",3.2,4.1,4,3.3,2.9
"Leirfjord",3.2,3.5,4,2.1,2.1
"Vefsn",3.4,3.2,3,2.5,2.4
"Grane",3.6,2.4,2.9,2.2,2.2
"Hattfjelldal",2.3,2.2,2.9,2.3,2.9
"Dønna",3.5,2.9,3.6,2.4,1.9
"Nesna",2.1,2.6,2.2,2.3,2.2
"Hemnes",2.9,3.2,3.2,2.1,2.7
"Rana",3.4,3.3,2.7,2.1,2.2
"Lurøy",2.6,2.9,3.2,2.9,3.5
"Træna",6,4.1,3.1,2.9,2
"Rødøy",2.2,1.8,2.5,2,3.2
"Meløy",1.9,1.7,3.3,6.1,5.1
"Gildeskål",1.5,2.4,2.1,2.3,2.8
"Beiarn",1.6,2.7,4.3,2.3,1.8
"Saltdal",2.7,3.2,3.1,3.9,3.1
"Fauske",3.9,3.7,3.5,3.1,3.3
"Sørfold",4.5,3.2,2.9,4.1,3.3
"Steigen",3.1,2.7,3.1,2.3,2.4
"Hamarøy",1.8,2.3,2.2,2.4,2.2
"Tysfjord",4.5,4.3,4.4,4.1,3.5
"Lødingen",2.1,2.3,2.3,1.7,2.4
"Tjeldsund",2.9,3,4.2,2.6,2.7
"Evenes",1.6,1.7,1.1,1.6,2.5
"Ballangen",2.8,3.1,2.8,3.3,3
"Røst",5.6,5.7,3.4,2.9,3.1
"Værøy",5.4,6.8,6.9,6.6,5.8
"Flakstad",2.8,3.2,2.3,3.3,3.5
"Vestvågøy",2.8,3.2,3.6,3.1,3.4
"Vågan",2.8,2.7,3.1,2.5,2.7
"Hadsel",3.7,3.3,3.1,3.3,3.3
"Bø (Nordland)",2.9,3.5,3.2,3,3.6
"Øksnes",2.4,2.4,3.2,3.6,4.7
"Sortland",3.7,3.4,3.7,4,4.1
"Andøy",1.8,2.4,1.7,2,3.2
"Moskenes",2.7,2.7,2.8,2.4,1.7
"Tromsø",2.9,2.8,2.2,2.1,2.1
"Harstad",2.2,2.3,1.9,2.1,2.5
"Kvæfjord",2.1,2.5,2,1.9,2.2
"Skånland",1.8,2.7,2,2.8,3.3
"Ibestad",2.3,2.2,2.6,2.1,2.5
"Gratangen",2.1,3.2,3.2,2.7,2.2
"Lavangen",2.4,2.3,3.4,3,2.4
